price,source_product_id,product_name,product_url,review_count,star_rating
$34.02,B00A6GDR8A,"Estee Lauder Double Wear Stay-in-Place Makeup 3N1 IVORY BEIGE,1oz/30ml",https://www.amazon.com/Estee-Lauder-Double-Place-Makeup/dp/B00A6GDR8A/ref=sr_1_1?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-1,526.0,4.3 out of 5 stars
$78.46,B00DZNZXJM,"ESTEE LAUDER Advanced Night Repair Recovery Complex Ii, 1.7 Ounce",https://www.amazon.com/LAUDER-Advanced-Repair-Recovery-Complex/dp/B00DZNZXJM/ref=sr_1_2?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-2,300.0,3.8 out of 5 stars
$23.19,B004H9V8SS,"Estee Lauder Sumptuous Extreme Lash Multiplying Volume Mascara for Women, No.01 Extreme Black, 0.27 Ounce",https://www.amazon.com/Estee-Lauder-Sumptuous-Extreme-Multiplying/dp/B004H9V8SS/ref=sr_1_3?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-3,87.0,4.3 out of 5 stars
,B00DQKUNH6,"Estee Lauder Perfectly Clean Multi-action Foam Cleanser/Purifying Mask, 5 Ounce",https://www.amazon.com/Estee-Lauder-Perfectly-Multi-action-Purifying/dp/B00DQKUNH6/ref=sr_1_4?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-4,185.0,4.7 out of 5 stars
$27.99,B006NQV8M4,Estee Lauder Double Wear Zero-Smudge Lengthening Mascara 01 Black,https://www.amazon.com/Estee-Lauder-Zero-Smudge-Lengthening-Mascara/dp/B006NQV8M4/ref=sr_1_5?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-5,91.0,4.2 out of 5 stars
$40.39,B006LMZK5Q,"Estee Lauder Resilience Lift Firming/Sculpting Face and Neck Creme SPF 15 Normal/Combination Skin, 1 oz",https://www.amazon.com/Estee-Lauder-Resilience-Firming-Sculpting/dp/B006LMZK5Q/ref=sr_1_6?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-6,31.0,4.0 out of 5 stars
$50.00,B006RVUVPA,"Estee Lauder Daywear Advanced Multi Protection Anti Oxidant Creme All Skin Types for Unisex, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Daywear-Advanced-Protection/dp/B006RVUVPA/ref=sr_1_7?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-7,67.0,4.2 out of 5 stars
$22.98,B00IA2Q7FC,"Estee Lauder Sumptuous Infinite Daring Length plus Volume Mascara, 0.21 Ounce",https://www.amazon.com/Estee-Lauder-Sumptuous-Infinite-Mascara/dp/B00IA2Q7FC/ref=sr_1_8?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-8,59.0,4.1 out of 5 stars
$66.50,B009Y6D0EO,"Estee Lauder Advanced Time Zone Night Age Reversing Line/Wrinkle Creme, 1.7 Ounce",https://www.amazon.com/Estee-Lauder-Advanced-Reversing-Wrinkle/dp/B009Y6D0EO/ref=sr_1_9?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-9,40.0,4.5 out of 5 stars
$38.00,B000VOPGO0,"Youth Dew By Estee Lauder For Women, Dusting Powder, 7-Ounces",https://www.amazon.com/Estee-Lauder-Dusting-Powder-7-Ounces/dp/B000VOPGO0/ref=sr_1_10?qid=1556613030&refinements=p_89%3AEstee+Lauder&s=beauty-intl-ship&sr=1-10,111.0,4.6 out of 5 stars
